Year,MO,Edible,CommodityCode,Country,District,Kilos,Dollars,Trade
2006,01,E,0302120003,1220,01,184519,851273,1
2006,01,E,0302500000,1220,01,1110,3379,1
2006,01,E,0302630000,1220,01,40969,45062,1
2006,01,E,0302650010,4279,04,2106,10637,1
2006,01,E,0302650010,4759,04,540,2680,1
2006,01,E,0302694075,4120,04,13152,109368,1
2006,01,E,0302694075,4210,04,10447,80908,1
2006,01,E,0302694075,4279,04,5988,51783,1
2006,01,E,0302694075,5800,04,69000,240000,1
2006,01,E,0302697000,1220,02,7676,26042,1
2006,01,E,0302697000,4210,04,4680,17891,1
2006,01,E,0302697000,4279,04,12310,51586,1
2006,01,E,0302705000,5880,04,821,4188,1
2006,01,E,0303390060,1220,01,859,3182,1
2006,01,E,0303600000,1220,01,14484,23128,1
2006,01,E,0303720000,4000,04,571,4914,1
2006,01,E,0303730000,1220,01,4763,6491,1
2006,01,E,0303740000,4279,04,168000,201536,1
2006,01,E,0303740000,4792,04,24494,25000,1
2006,01,E,0303740000,4870,04,68680,92000,1
2006,01,E,0303740000,7290,04,535380,625000,1
2006,01,E,0303750010,5490,04,38798,82113,1
2006,01,E,0303794030,4279,04,13500,140378,1
2006,01,E,0303794030,4710,04,23000,120000,1
2006,01,E,0303796090,5820,04,74953,158630,1
2006,01,E,0304105090,1220,01,1043,3173,1
2006,01,E,0304105090,1220,02,942,5240,1
2006,01,E,0304105090,4279,04,26290,110569,1
2006,01,E,0304105090,4759,04,3780,18076,1
2006,01,E,0304203025,1220,01,7512,30519,1
2006,01,E,0304203025,4000,04,2268,17500,1
2006,01,E,0304207000,4700,04,21389,28305,1
2006,01,E,0304208600,1220,01,933,2926,1
2006,01,E,0304208600,4231,04,17570,152678,1
2006,01,E,0304208600,4279,04,31500,92886,1
2006,01,E,0304901009,1220,01,127110,240722,1
2006,01,E,0304908700,1220,01,8798,29929,1
2006,01,E,0305300000,1220,01,907,9055,1
2006,01,E,0305620000,1220,01,21549,66799,1
2006,01,E,0306110000,4890,04,513,11425,1
2006,01,E,0306120000,4279,04,9006,90570,1
2006,01,E,0306120000,4280,04,16438,168000,1
2006,01,E,0306120000,4759,04,7228,72280,1
2006,01,E,0306130040,4099,04,99066,716731,1
2006,01,E,0306220000,1220,01,121856,1401383,1
2006,01,E,0306220000,2470,04,3850,30000,1
2006,01,E,0306220000,4010,04,175,3086,1
2006,01,E,0306220000,4120,04,11520,200397,1
2006,01,E,0306220000,4210,04,1575,15992,1
2006,01,E,0306220000,4279,04,25175,438753,1
2006,01,E,0306220000,4280,04,2577,49018,1
2006,01,E,0306220000,4419,04,1481,30266,1
2006,01,E,0306220000,4759,04,39776,688536,1
2006,01,E,0306220000,4870,04,136,2756,1
2006,01,E,0306220000,5800,04,371,5800,1
2006,01,E,0306220000,7450,04,272,5400,1
2006,01,E,0306244000,1220,01,132063,255895,1
2006,01,E,0307100040,4279,04,10214,78378,1
2006,01,E,0307100040,4700,04,710,32196,1
2006,01,E,0307100040,4710,04,325,14139,1
2006,01,E,0307100040,4759,04,80,4205,1
2006,01,E,0307210000,4120,04,39553,316942,1
2006,01,E,0307210000,4210,04,5524,53598,1
2006,01,E,0307210000,4279,04,862,19097,1
2006,01,E,0307210000,4280,04,2784,56797,1
2006,01,E,0307210000,4759,04,1080,25751,1
2006,01,E,0307210000,5200,04,834,22244,1
2006,01,E,0307290000,1220,01,6305,42882,1
2006,01,E,0307290000,4120,04,9500,125000,1
2006,01,E,0307290000,4231,04,45019,460000,1
2006,01,E,0307290000,4330,04,300,7242,1
2006,01,E,0307290000,5570,04,1000,18150,1
2006,01,E,0307290000,5820,04,41678,409565,1
2006,01,E,0307310010,4210,04,2700,6330,1
2006,01,E,0307490010,5700,04,43520,75796,1
2006,01,E,0307490024,4759,04,206900,400917,1
2006,01,E,0307490024,5700,04,126000,210000,1
2006,01,E,0307490029,5700,04,43520,74836,1
2006,01,E,0307490050,4099,04,44910,50000,1
2006,01,E,0307490050,5700,04,60000,75000,1
2006,01,E,0307910021,5880,04,2929,128393,1
2006,01,E,0307910070,1220,01,545,3355,1
2006,01,E,1604114050,1220,01,3441,11139,1
2006,01,E,1604195500,1220,02,22229,125116,1
2006,01,E,1604197000,1220,01,454,3840,1
2006,01,E,1604197000,1220,02,454,4274,1
2006,01,E,1604197000,4120,04,2344,8522,1
2006,01,E,1604197000,4210,04,6991,18100,1
2006,01,E,1604197000,4279,04,7642,43451,1
2006,01,E,1604197000,5820,01,18703,100000,1
2006,01,E,1604201300,4000,04,326,3038,1
2006,01,E,1605104040,1220,02,680,2852,1
2006,01,E,1605201050,1220,02,16489,70667,1
2006,01,E,1605901500,1220,01,12307,49989,1
2006,01,E,1605906040,4010,04,762,15212,1
2006,01,E,1605906040,4120,04,8604,177866,1
2006,01,E,1605906040,4210,04,29835,533778,1
2006,01,E,1605906040,4279,04,5464,112638,1
2006,01,E,1605906040,4280,04,5887,65627,1
2006,01,E,1605906040,4419,04,406,8821,1
2006,01,E,1605906040,5590,04,9930,138101,1
2006,01,E,1605907000,1220,02,1814,10046,1
2006,01,N,0511910000,1220,01,806033,486311,1
2006,01,N,1302390000,5700,01,9000,100000,1
2006,02,E,0302630000,1220,01,3734,4111,1
2006,02,E,0302694075,4120,04,11595,89525,1
2006,02,E,0302694075,4210,04,8732,58577,1
2006,02,E,0302694075,4279,04,3390,26861,1
2006,02,E,0302694075,5800,04,17740,80000,1
2006,02,E,0302697000,1220,01,9299,16957,1
2006,02,E,0302697000,1220,02,1996,6878,1
2006,02,E,0302697000,4120,04,1170,4391,1
2006,02,E,0302697000,4210,04,4290,15196,1
2006,02,E,0302697000,4279,04,27470,106884,1
2006,02,E,0302705000,5880,04,810,4375,1
2006,02,E,0303730000,1220,01,51095,69415,1
2006,02,E,0303740000,1220,01,4817,5891,1
2006,02,E,0303740000,4039,04,94520,99946,1
2006,02,E,0303740000,4279,04,240000,262383,1
2006,02,E,0303740000,4280,04,263740,257111,1
2006,02,E,0303740000,4510,04,72600,75000,1
2006,02,E,0303740000,4550,04,49300,49960,1
2006,02,E,0303740000,4633,04,193381,205440,1
2006,02,E,0303740000,4710,04,240000,282000,1
2006,02,E,0303740000,4791,04,66000,46350,1
2006,02,E,0303740000,4792,04,121000,120000,1
2006,02,E,0303740000,4840,04,50400,55440,1
2006,02,E,0303740000,4870,04,264521,275000,1
2006,02,E,0303740000,5700,04,210600,325000,1
2006,02,E,0303740000,7290,04,1017936,1054250,1
2006,02,E,0303750010,4279,04,3596,5109,1
2006,02,E,0303794030,4231,01,8075,69564,1
2006,02,E,0303796090,4279,01,20000,25000,1
2006,02,E,0303796090,5800,04,23000,45425,1
2006,02,E,0303804095,5880,04,522,3519,1
2006,02,E,0304105090,1220,01,2697,9666,1
2006,02,E,0304105090,1220,02,824,7193,1
2006,02,E,0304105090,4279,04,49026,190190,1
2006,02,E,0304203025,1220,01,50232,188545,1
2006,02,E,0304203025,4870,04,92000,125000,1
2006,02,E,0304208600,1220,01,30981,92856,1
2006,02,E,0304208600,1220,02,454,3399,1
2006,02,E,0304208600,4231,04,6000,17063,1
2006,02,E,0304208600,4279,04,10235,52199,1
2006,02,E,0304208600,4710,04,21433,25000,1
2006,02,E,0304908700,1220,02,907,6758,1
2006,02,E,0305300000,1220,01,897,3542,1
2006,02,E,0305620000,1220,01,16721,39690,1
2006,02,E,0306120000,4279,04,5556,65346,1
2006,02,E,0306120000,4280,04,15806,209493,1
2006,02,E,0306120000,4419,04,299,5247,1
2006,02,E,0306120000,4759,04,2041,23755,1
2006,02,E,0306120000,4890,04,533,12177,1
2006,02,E,0306120000,5200,04,143,2520,1
2006,02,E,0306130040,1220,01,545,5237,1
2006,02,E,0306130040,4091,01,18144,140000,1
2006,02,E,0306220000,1220,01,1988,32758,1
2006,02,E,0306220000,2470,04,4212,29000,1
2006,02,E,0306220000,4010,04,243,4628,1
2006,02,E,0306220000,4120,04,11091,194262,1
2006,02,E,0306220000,4210,04,1430,14859,1
2006,02,E,0306220000,4279,04,16488,286989,1
2006,02,E,0306220000,4280,04,2592,50578,1
2006,02,E,0306220000,4419,04,3798,76294,1
2006,02,E,0306220000,4759,04,43483,757244,1
2006,02,E,0306220000,5200,04,232,5840,1
2006,02,E,0306220000,5800,04,679,10670,1
2006,02,E,0306220000,7450,04,340,7155,1
2006,02,E,0306244000,1220,01,85905,201152,1
2006,02,E,0307100040,4279,04,3435,45401,1
2006,02,E,0307100040,4700,04,2630,25733,1
2006,02,E,0307100040,4710,04,215,9465,1
2006,02,E,0307210000,1220,01,38959,274845,1
2006,02,E,0307210000,4120,04,25217,205785,1
2006,02,E,0307210000,4210,04,1848,39021,1
2006,02,E,0307210000,4279,04,1240,26456,1
2006,02,E,0307210000,4280,04,2820,63964,1
2006,02,E,0307210000,4419,04,1627,32397,1
2006,02,E,0307210000,4759,04,1080,26768,1
2006,02,E,0307210000,5200,04,1368,33764,1
2006,02,E,0307290000,1220,01,11380,222827,1
2006,02,E,0307290000,4231,04,22350,428387,1
2006,02,E,0307290000,4279,04,10170,199545,1
2006,02,E,0307290000,4280,04,9574,172410,1
2006,02,E,0307290000,4330,04,300,7242,1
2006,02,E,0307290000,5570,04,14969,227700,1
2006,02,E,0307290000,5590,04,10474,126706,1
2006,02,E,0307290000,5820,04,20406,302725,1
2006,02,E,0307310010,4210,04,2700,7455,1
2006,02,E,0307490010,5700,04,130560,230266,1
2006,02,E,0307490024,4759,04,44400,50000,1
2006,02,E,0307490024,4870,04,23500,55000,1
2006,02,E,0307490024,5700,04,220500,255000,1
2006,02,E,0307490029,5700,04,87040,155429,1
2006,02,E,0307490050,4099,04,66600,70000,1
2006,02,E,0307910021,5880,04,3122,130029,1
2006,02,E,0307910070,1220,01,20160,45543,1
2006,02,E,0307990030,5820,01,14109,220000,1
2006,02,E,1604112000,1220,01,17422,59980,1
2006,02,E,1604114050,1220,01,5114,17799,1
2006,02,E,1604130000,2360,01,7838,26131,1
2006,02,E,1604130000,2440,01,1141,3886,1
2006,02,E,1604130000,2482,01,2453,7815,1
2006,02,E,1604130000,2484,01,3978,14230,1
2006,02,E,1604130000,2486,01,2449,8042,1
2006,02,E,1604130000,2487,01,769,2613,1
2006,02,E,1604150000,4280,04,19067,16535,1
2006,02,E,1604150000,4550,04,4009,13225,1
2006,02,E,1604150000,4633,04,69000,75000,1
2006,02,E,1604195500,1220,02,16125,92369,1
2006,02,E,1604197000,1220,01,907,7624,1
2006,02,E,1604197000,1220,02,680,6422,1
2006,02,E,1604197000,4120,04,3513,15755,1
2006,02,E,1604197000,4210,04,8878,26192,1
2006,02,E,1604197000,4279,04,17191,82265,1
2006,02,E,1605104040,1220,02,2304,13073,1
2006,02,E,1605201050,1220,02,33119,156961,1
2006,02,E,1605901500,1220,01,1017,5660,1
2006,02,E,1605906040,4010,04,576,11227,1
2006,02,E,1605906040,4099,01,10848,194623,1
2006,02,E,1605906040,4210,04,28400,489609,1
2006,02,E,1605906040,4231,01,3750,58552,1
2006,02,E,1605906040,4231,04,23170,191155,1
2006,02,E,1605906040,4279,04,7382,145921,1
2006,02,E,1605906040,4280,01,22000,392860,1
2006,02,E,1605906040,4280,04,21047,388214,1
2006,02,E,1605906040,4419,04,424,8959,1
2006,02,E,1605907000,1220,02,1360,7504,1
2006,02,E,2104100040,5600,01,10181,22241,1
2006,02,N,0511910000,1220,01,599766,433294,1
2006,02,N,1302390000,5490,01,9000,195300,1
2006,02,N,1302390000,5700,01,27000,300000,1
2006,03,E,0302120003,1220,01,1324263,5713961,1
2006,03,E,0302320000,1220,04,178,2738,1
2006,03,E,0302320000,4419,04,939,18526,1
2006,03,E,0302340000,1220,04,157,2566,1
2006,03,E,0302630000,1220,01,58931,63615,1
2006,03,E,0302640000,1220,01,130031,61562,1
2006,03,E,0302640000,7290,04,121800,140000,1
2006,03,E,0302694075,4120,04,15816,140718,1
2006,03,E,0302694075,4210,04,17405,132390,1
2006,03,E,0302694075,4279,04,20614,159165,1
2006,03,E,0302694075,5800,04,23000,80000,1
2006,03,E,0302697000,1220,01,25435,54279,1
2006,03,E,0302697000,1220,02,6979,22849,1
2006,03,E,0302697000,4120,04,1170,5292,1
2006,03,E,0302697000,4210,04,2340,9872,1
2006,03,E,0302697000,4279,04,13752,59668,1
2006,03,E,0303420000,5600,04,13301,105281,1
2006,03,E,0303500000,4870,04,9500,10000,1
2006,03,E,0303600000,1220,02,11846,26898,1
2006,03,E,0303720000,5170,04,8237,46535,1
2006,03,E,0303730000,1220,01,27624,40670,1
2006,03,E,0303740000,1220,01,133143,142847,1
2006,03,E,0303740000,2470,04,16085,10410,1
2006,03,E,0303740000,4039,04,253000,215050,1
2006,03,E,0303740000,4279,04,744000,716645,1
2006,03,E,0303740000,4280,04,69000,58072,1
2006,03,E,0303740000,4490,04,69000,36216,1
2006,03,E,0303740000,4550,04,165047,203765,1
2006,03,E,0303740000,4633,04,44400,50000,1
2006,03,E,0303740000,4710,04,192000,282000,1
2006,03,E,0303740000,4752,04,44400,50000,1
2006,03,E,0303740000,4791,04,22000,12938,1
2006,03,E,0303740000,4840,04,22560,20610,1
2006,03,E,0303740000,4850,04,269600,248300,1
2006,03,E,0303740000,4870,04,201798,204840,1
2006,03,E,0303740000,4890,04,95000,93200,1
2006,03,E,0303740000,5490,04,90400,100000,1
2006,03,E,0303740000,5800,04,44000,50000,1
2006,03,E,0303740000,7290,04,780200,800000,1
2006,03,E,0303750010,4280,04,35064,74210,1
2006,03,E,0303780000,1220,01,5006,10450,1
2006,03,E,0303780000,4700,04,8708,14368,1
2006,03,E,0303794030,4279,04,30045,179562,1
2006,03,E,0303794030,4280,04,3488,24997,1
2006,03,E,0303796090,4279,01,15000,15000,1
2006,03,E,0303796090,4279,04,31000,85428,1
2006,03,E,0303796090,4759,01,22000,25000,1
2006,03,E,0303796090,5800,04,19180,41237,1
2006,03,E,0303804095,1220,01,1154,8203,1
2006,03,E,0304105090,1220,02,1101,5808,1
2006,03,E,0304105090,4120,04,2340,6885,1
2006,03,E,0304105090,4279,04,62384,276052,1
2006,03,E,0304203025,4000,04,1905,15456,1
2006,03,E,0304207000,1220,04,68706,220550,1
2006,03,E,0304207000,4700,04,21389,29248,1
2006,03,E,0304208600,1220,01,43389,135180,1
2006,03,E,0304208600,4231,04,16280,143994,1
2006,03,E,0304208600,4279,04,13601,43888,1
2006,03,E,0304208600,4710,04,21433,15000,1
2006,03,E,0304901009,1220,01,84509,267305,1
2006,03,E,0306120000,1220,01,922,8840,1
2006,03,E,0306120000,4279,04,3803,48787,1
2006,03,E,0306120000,4280,04,17408,252052,1
2006,03,E,0306120000,4759,04,1120,11200,1
2006,03,E,0306130015,4000,04,272,2598,1
2006,03,E,0306130040,4091,01,30715,237000,1
2006,03,E,0306220000,1220,01,14631,223479,1
2006,03,E,0306220000,2470,04,3400,28000,1
2006,03,E,0306220000,4010,04,273,4095,1
2006,03,E,0306220000,4099,04,163,2844,1
2006,03,E,0306220000,4120,04,13690,240567,1
2006,03,E,0306220000,4210,04,896,15159,1
2006,03,E,0306220000,4279,04,24991,443088,1
2006,03,E,0306220000,4280,04,18517,176684,1
2006,03,E,0306220000,4419,04,3571,68327,1
2006,03,E,0306220000,4759,04,59240,1040375,1
2006,03,E,0306220000,5200,04,452,11485,1
2006,03,E,0306220000,5800,04,300,5445,1
2006,03,E,0306220000,5880,04,370,7542,1
2006,03,E,0306220000,7450,04,571,12666,1
2006,03,E,0306244000,1220,01,89115,217268,1
2006,03,E,0307100040,4279,04,4266,63743,1
2006,03,E,0307100040,4700,04,765,33679,1
2006,03,E,0307100040,4710,04,240,9930,1
2006,03,E,0307210000,1220,01,31378,221355,1
2006,03,E,0307210000,4010,04,297,8149,1
2006,03,E,0307210000,4120,04,29452,249458,1
2006,03,E,0307210000,4210,04,5442,59389,1
2006,03,E,0307210000,4279,04,3725,57492,1
2006,03,E,0307210000,4280,04,3276,68456,1
2006,03,E,0307210000,4419,04,4323,84216,1
2006,03,E,0307210000,4759,04,1056,25063,1
2006,03,E,0307210000,5200,04,1194,32219,1
2006,03,E,0307210000,5700,04,14819,164346,1
2006,03,E,0307290000,1220,01,3666,61811,1
2006,03,E,0307290000,4000,04,1977,36006,1
2006,03,E,0307290000,4210,04,23000,350290,1
2006,03,E,0307290000,4279,04,3282,30747,1
2006,03,E,0307290000,4330,04,300,7242,1
2006,03,E,0307290000,5800,04,10152,134280,1
2006,03,E,0307290000,5820,04,21400,317276,1
2006,03,E,0307490010,2740,04,22898,28800,1
2006,03,E,0307490010,5700,04,195840,356432,1
2006,03,E,0307490024,4210,04,22200,25000,1
2006,03,E,0307490024,4710,04,12000,20000,1
2006,03,E,0307490024,4759,04,63900,70000,1
2006,03,E,0307490024,5700,04,237700,250000,1
2006,03,E,0307490029,5700,04,21760,38857,1
2006,03,E,0307490050,1610,04,67200,70000,1
2006,03,E,0307490050,4099,04,66600,60000,1
2006,03,E,0307490050,5700,04,133200,150000,1
2006,03,E,0307490050,5880,04,22200,25000,1
2006,03,E,0307910021,5880,04,4486,178085,1
2006,03,E,0307910070,1220,01,10155,24675,1
2006,03,E,0307990030,5820,01,11725,210000,1
2006,03,E,0307990035,4210,04,1361,4200,1
2006,03,E,0307990080,4210,04,2600,5175,1
2006,03,E,1603009500,1220,02,860,3290,1
2006,03,E,1604150000,7530,04,3247537,3332453,1
2006,03,E,1604195500,1220,01,1656,9143,1
2006,03,E,1604195500,1220,02,16176,92788,1
2006,03,E,1604197000,1220,02,3783,14925,1
2006,03,E,1604197000,4120,04,12884,58115,1
2006,03,E,1604197000,4210,04,15335,52694,1
2006,03,E,1604197000,4279,04,32740,169838,1
2006,03,E,1604197000,5820,01,19212,150000,1
2006,03,E,1605104040,1220,02,3629,18329,1
2006,03,E,1605201050,1220,02,20312,73801,1
2006,03,E,1605300500,4279,04,2392,29170,1
2006,03,E,1605300500,5200,04,434,9305,1
2006,03,E,1605901500,1220,02,816,3046,1
2006,03,E,1605906040,4010,04,934,18035,1
2006,03,E,1605906040,4099,01,22560,385010,1
2006,03,E,1605906040,4210,04,27909,475942,1
2006,03,E,1605906040,4231,04,17687,227763,1
2006,03,E,1605906040,4279,04,11119,200798,1
2006,03,E,1605906040,4280,04,2562,41717,1
2006,03,E,1605906040,4419,04,880,17911,1
2006,03,E,1605907000,1220,02,2268,12759,1
2006,03,E,1605907000,5820,04,18143,30000,1
2006,03,N,0511910000,1220,01,952692,750278,1
2006,03,N,1302390000,5490,01,9000,195300,1
2006,03,N,1302390000,5700,01,18000,200000,1
2006,04,E,0302120003,1220,01,75572,333131,1
2006,04,E,0302320000,4419,04,5251,11113,1
2006,04,E,0302640000,1220,01,28107,47034,1
2006,04,E,0302640000,4279,04,48000,45971,1
2006,04,E,0302694075,4120,04,14976,135737,1
2006,04,E,0302694075,4210,04,15109,119119,1
2006,04,E,0302694075,4279,04,22424,192956,1
2006,04,E,0302694075,5800,04,46000,160000,1
2006,04,E,0302697000,1220,02,1637,6218,1
2006,04,E,0302697000,4120,04,1842,6909,1
2006,04,E,0302697000,4210,04,6500,25656,1
2006,04,E,0302697000,4279,04,19152,77113,1
2006,04,E,0303220000,4039,04,4855,21000,1
2006,04,E,0303500000,1220,01,11757,5169,1
2006,04,E,0303600000,1220,01,20421,74829,1
2006,04,E,0303720000,5170,04,10886,61500,1
2006,04,E,0303730000,1220,01,7389,10732,1
2006,04,E,0303740000,1220,01,181559,191089,1
2006,04,E,0303740000,4039,04,46000,39100,1
2006,04,E,0303740000,4120,04,874360,635562,1
2006,04,E,0303740000,4210,04,23330,25000,1
2006,04,E,0303740000,4271,04,441800,490000,1
2006,04,E,0303740000,4279,04,133200,150000,1
2006,04,E,0303740000,4490,04,69000,76383,1
2006,04,E,0303740000,4510,04,63000,57450,1
2006,04,E,0303740000,4621,04,260000,270000,1
2006,04,E,0303740000,4633,04,199043,190806,1
2006,04,E,0303740000,4710,04,240000,273192,1
2006,04,E,0303740000,4759,04,22000,20000,1
2006,04,E,0303740000,4792,04,100000,100000,1
2006,04,E,0303740000,4870,04,205000,190526,1
2006,04,E,0303740000,4890,04,262000,253855,1
2006,04,E,0303740000,5590,04,24000,48000,1
2006,04,E,0303740000,7290,04,230000,132215,1
2006,04,E,0303780000,1220,01,17962,27921,1
2006,04,E,0303794015,4633,04,46006,69250,1
2006,04,E,0303794030,1220,01,2014,7059,1
2006,04,E,0303794030,4710,04,23000,125000,1
2006,04,E,0303796090,4279,01,13000,14000,1
2006,04,E,0303796090,4279,04,36000,64092,1
2006,04,E,0303796090,5820,04,133779,283130,1
2006,04,E,0304105090,1220,01,3437,20495,1
2006,04,E,0304105090,1220,02,1410,6378,1
2006,04,E,0304105090,4120,04,12714,37240,1
2006,04,E,0304105090,4279,04,45078,187469,1
2006,04,E,0304105090,4759,04,1200,6085,1
2006,04,E,0304207000,1220,04,68706,219632,1
2006,04,E,0304208600,1220,01,20898,52754,1
2006,04,E,0304208600,4231,04,31500,100484,1
2006,04,E,0304208600,4279,04,31500,87301,1
2006,04,E,0304208600,4710,04,21433,35000,1
2006,04,E,0304908700,1220,01,2046,2852,1
2006,04,E,0305410000,2740,02,2356,38880,1
2006,04,E,0305620000,1220,01,5635,17576,1
2006,04,E,0306110000,4890,04,358,7907,1
2006,04,E,0306120000,4279,04,6032,94550,1
2006,04,E,0306120000,4280,04,17408,235200,1
2006,04,E,0306120000,4759,04,1120,11200,1
2006,04,E,0306130040,4091,01,12830,99000,1
2006,04,E,0306130040,4120,01,14904,115000,1
2006,04,E,0306220000,1220,01,4291,54100,1
2006,04,E,0306220000,2470,04,4600,52000,1
2006,04,E,0306220000,4010,04,1138,20080,1
2006,04,E,0306220000,4120,04,11465,199172,1
2006,04,E,0306220000,4210,04,3550,55435,1
2006,04,E,0306220000,4279,04,19971,316983,1
2006,04,E,0306220000,4280,04,2148,40469,1
2006,04,E,0306220000,4419,04,2287,45454,1
2006,04,E,0306220000,4759,04,46941,806626,1
2006,04,E,0306220000,5200,04,109,2700,1
2006,04,E,0306220000,5800,04,340,6428,1
2006,04,E,0306220000,5880,04,2092,38432,1
2006,04,E,0306220000,7450,04,272,5850,1
2006,04,E,0306244000,1220,01,146000,219745,1
2006,04,E,0307100040,4279,04,15110,113350,1
2006,04,E,0307100040,4700,04,1040,47664,1
2006,04,E,0307100040,4710,04,632,28495,1
2006,04,E,0307210000,1220,01,42678,301090,1
2006,04,E,0307210000,4120,04,30127,272289,1
2006,04,E,0307210000,4210,04,6452,74826,1
2006,04,E,0307210000,4279,04,1794,35640,1
2006,04,E,0307210000,4280,04,4687,62984,1
2006,04,E,0307210000,4419,04,3129,60417,1
2006,04,E,0307210000,4759,04,1224,27104,1
2006,04,E,0307210000,4890,04,150,3350,1
2006,04,E,0307210000,5200,04,1152,29540,1
2006,04,E,0307290000,1220,01,2150,37260,1
2006,04,E,0307290000,1220,02,28792,163521,1
2006,04,E,0307290000,4039,04,9345,156533,1
2006,04,E,0307290000,4231,04,64897,926593,1
2006,04,E,0307290000,4280,04,7151,67000,1
2006,04,E,0307290000,4330,04,300,7242,1
2006,04,E,0307290000,5590,04,19661,261936,1
2006,04,E,0307290000,5820,04,39986,561161,1
2006,04,E,0307410020,4279,04,1700,10340,1
2006,04,E,0307410040,4759,04,500,3850,1
2006,04,E,0307490010,1220,01,7961,7654,1
2006,04,E,0307490010,5700,04,108800,199084,1
2006,04,E,0307490024,4210,04,23000,24000,1
2006,04,E,0307490024,4759,04,66000,135000,1
2006,04,E,0307490024,5700,04,46000,50000,1
2006,04,E,0307490029,5700,04,21760,38858,1
2006,04,E,0307490050,1610,04,218000,234000,1
2006,04,E,0307490050,5700,04,179006,189100,1
2006,04,E,0307910021,5880,04,4076,165291,1
2006,04,E,0307910070,1220,01,22720,58492,1
2006,04,E,1604130000,2080,01,788,2713,1
2006,04,E,1604130000,2360,01,13064,38750,1
2006,04,E,1604130000,2484,01,6450,24510,1
2006,04,E,1604130000,2488,01,2268,7491,1
2006,04,E,1604150000,7530,04,2955280,2364224,1
2006,04,E,1604195500,1220,02,29075,159725,1
2006,04,E,1604197000,4120,04,2342,8781,1
2006,04,E,1604197000,4210,04,6392,16765,1
2006,04,E,1604197000,4279,04,16840,87611,1
2006,04,E,1604197000,5820,01,19489,100000,1
2006,04,E,1605104040,1220,02,2721,13606,1
2006,04,E,1605201050,1220,02,26399,112514,1
2006,04,E,1605300500,4279,04,9026,135580,1
2006,04,E,1605300500,5200,04,364,10340,1
2006,04,E,1605901500,1220,01,15126,56622,1
2006,04,E,1605906040,4010,04,1314,25241,1
2006,04,E,1605906040,4099,01,22177,367166,1
2006,04,E,1605906040,4120,04,38982,419000,1
2006,04,E,1605906040,4210,04,22571,366203,1
2006,04,E,1605906040,4231,04,11770,127316,1
2006,04,E,1605906040,4279,04,13081,217102,1
2006,04,E,1605906040,4280,04,4562,77300,1
2006,04,E,1605906040,4419,04,510,10764,1
2006,04,E,1605907000,1220,02,1833,9904,1
2006,04,E,1605907000,4210,04,3900,8325,1
2006,04,N,0511910000,1220,01,2018131,1589464,1
2006,04,N,0511910000,1220,02,18144,9498,1
2006,04,N,1302390000,5490,01,9000,195300,1
2006,04,N,1302390000,5700,01,17850,208000,1
2006,05,E,0302340000,1220,04,178,2831,1
2006,05,E,0302640000,4633,04,25200,31248,1
2006,05,E,0302640000,4850,04,25200,30744,1
2006,05,E,0302694075,4120,04,12774,114937,1
2006,05,E,0302694075,4210,04,9659,73543,1
2006,05,E,0302694075,4279,04,5040,49353,1
2006,05,E,0302694075,5800,04,46000,160000,1
2006,05,E,0302697000,4210,04,3081,14568,1
2006,05,E,0302697000,4279,04,5703,22664,1
2006,05,E,0303600000,1220,01,45157,192544,1
2006,05,E,0303720000,1220,01,8244,19552,1
2006,05,E,0303730000,1220,01,15007,22644,1
2006,05,E,0303740000,1220,01,167220,183476,1
2006,05,E,0303740000,3550,04,23000,24732,1
2006,05,E,0303740000,4280,04,96800,100000,1
2006,05,E,0303740000,4550,04,398400,384000,1
2006,05,E,0303740000,4633,04,43681,41002,1
2006,05,E,0303740000,4759,04,22500,21000,1
2006,05,E,0303740000,4850,04,48000,61992,1
2006,05,E,0303740000,4870,04,94224,98661,1
2006,05,E,0303740000,5700,04,23000,23521,1
2006,05,E,0303740000,7530,04,2769360,2215488,1
2006,05,E,0303794030,4231,02,1180,9472,1
2006,05,E,0303794030,4710,04,23000,125000,1
2006,05,E,0303794030,5800,04,21000,106411,1
2006,05,E,0303796090,4279,01,20000,24000,1
2006,05,E,0304105090,1220,01,2234,16883,1
2006,05,E,0304105090,1220,02,1841,10316,1
2006,05,E,0304105090,4120,04,2803,10503,1
2006,05,E,0304105090,4279,04,47442,214820,1
2006,05,E,0304105090,4759,04,2220,11032,1
2006,05,E,0304203025,1220,01,2934,10532,1
2006,05,E,0304207000,1220,01,1174,3125,1
2006,05,E,0304207000,1220,04,258750,871341,1
2006,05,E,0304207000,4700,04,21432,52160,1
2006,05,E,0304208600,1220,01,907,7655,1
2006,05,E,0304208600,4279,04,13465,39398,1
2006,05,E,0304208600,4710,04,7399,35000,1
2006,05,E,0304901009,1220,01,253528,808631,1
2006,05,E,0304908700,1220,02,907,6441,1
2006,05,E,0306110000,4890,04,443,9902,1
2006,05,E,0306120000,4279,04,3036,44695,1
2006,05,E,0306120000,4280,04,16320,219825,1
2006,05,E,0306144020,1220,01,181,3619,1
2006,05,E,0306190090,1220,01,4670,40193,1
2006,05,E,0306220000,1220,01,12503,141915,1
2006,05,E,0306220000,2470,04,8298,81072,1
2006,05,E,0306220000,4099,04,163,2520,1
2006,05,E,0306220000,4120,04,10149,178997,1
2006,05,E,0306220000,4210,04,1190,14419,1
2006,05,E,0306220000,4279,04,63964,1134307,1
